ID,probability,label
98800001,0.012385423,0
98800002,0.00033632314,0
98800003,0.9995659,1
98800004,0.014031715,0
98800005,0.9995297,1
98800006,0.99774855,1
98800007,0.3688528,0
98800008,0.005815773,0
98800009,0.022211023,0
98800010,0.09334912,0
98800011,0.58931726,1
98800012,0.4389072,1
98800013,0.9969375,1
98800014,0.31916183,0
98800015,0.0072171506,0
98800016,0.9993036,1
98800017,0.0030143117,0
98800018,0.9914846,1
98800019,0.006957052,0
98800020,0.97949815,1
98800021,0.021668687,0
98800022,0.99757427,1
98800023,0.8689569,1
98800024,0.99938107,1
98800025,0.9997271,1
98800026,0.9931752,1
98800027,0.99916923,1
98800028,0.0055927723,0
98800029,0.00061490136,0
98800030,0.994686,1
98800031,0.014902646,0
98800032,0.96552646,1
98800033,0.99957675,1
98800034,0.9992631,1
98800035,0.98804015,1
98800036,0.022814507,0
98800037,0.00035119613,0
98800038,0.001958188,0
98800039,0.0027500666,0
98800040,0.12980318,0
98800041,0.047387008,0
98800042,0.9987282,1
98800043,0.04128427,0
98800044,0.028203627,0
98800045,0.99727494,1
98800046,0.98673356,1
98800047,0.008071267,0
98800048,0.9989774,1
98800049,0.9338797,0
98800050,0.7863184,1
98800051,0.96920836,1
98800052,0.0059741624,0
98800053,0.00042718672,0
98800054,0.0010425454,0
98800055,0.20141636,0
98800056,0.9998068,1
98800057,0.99691963,1
98800058,0.36593157,1
98800059,0.03792331,0
98800060,0.993321,1
98800061,0.81945854,1
98800062,0.9819052,1
98800063,0.99947006,1
98800064,0.23993881,0
98800065,0.99162674,1
98800066,0.0024589638,0
98800067,0.99947304,1
98800068,0.9897682,1
98800069,0.9992306,1
98800070,0.9980939,1
98800071,0.031973213,0
98800072,0.99520963,1
98800073,0.9990834,1
98800074,0.8209596,1
98800075,0.018469805,0
98800076,0.008680773,0
98800077,0.98122656,1
98800078,0.99895453,1
98800079,0.14413708,0
98800080,0.024511568,0
98800081,0.0029621401,0
98800082,0.9934182,1
98800083,0.9990952,1
98800084,0.9998497,1
98800085,0.0053264773,0
98800086,0.9982077,1
98800087,0.9976544,1
98800088,0.9998573,1
98800089,0.0030963435,0
98800090,0.009816707,0
98800091,0.9993206,1
98800092,0.91295165,1
98800093,0.99189746,1
98800094,0.00070722535,0
98800095,0.84335256,1
98800096,0.95450944,1
98800097,0.9990784,1
98800098,0.99149346,1
98800099,0.99935645,1
98800100,0.0026918473,0
98800101,0.0023067312,0
98800102,0.0016893599,0
98800103,0.0010409262,0
98800104,0.99939907,1
98800105,0.003318262,0
98800106,0.9983688,1
98800107,0.9985494,1
98800108,0.99936813,1
98800109,0.99958235,1
98800110,0.9984647,1
98800111,0.9975956,1
98800112,0.9976822,1
98800113,0.87657297,1
98800114,0.0007707668,0
98800115,0.9995233,1
98800116,0.003869459,0
98800117,0.99066556,1
98800118,0.9996117,1
98800119,0.9997931,1
98800120,0.99830675,1
98800121,0.9974094,1
98800122,0.0067531406,0
98800123,0.9987513,1
98800124,0.0041249557,0
98800125,0.3357573,0
98800126,0.32886872,0
98800127,0.99966145,1
98800128,0.09505839,0
98800129,0.9823262,1
98800130,0.9997037,1
98800131,0.9986688,1
98800132,0.0053071156,0
98800133,0.9989562,1
98800134,0.0074722623,0
98800135,0.0017131168,0
98800136,0.0004316064,0
98800137,0.03376057,0
98800138,0.0027195935,0
98800139,0.0049435506,0
98800140,0.9997036,1
98800141,0.0045391535,0
98800142,0.9984509,1
98800143,0.9903234,1
98800144,0.998874,1
98800145,0.013952266,0
98800146,0.00023597782,0
98800147,0.2469703,0
98800148,0.99902356,1
98800149,0.9801676,1
98800150,0.022481162,0
98800151,0.067834765,0
98800152,0.9923813,1
98800153,0.66053563,0
98800154,0.99450773,1
98800155,0.017496133,0
98800156,0.041710597,0
98800157,0.0020307214,0
98800158,0.9920902,1
98800159,0.0008353624,0
98800160,0.99981636,1
98800161,0.99537826,1
98800162,0.7166771,1
98800163,0.73956543,1
98800164,0.9968906,1
98800165,0.0017312453,0
98800166,0.25111544,0
98800167,0.9993761,1
98800168,0.0075582457,0
98800169,0.5993392,0
98800170,0.0008241428,0
98800171,0.99884605,1
98800172,0.99697495,1
98800173,0.9991879,1
98800174,0.863155,1
98800175,0.9988985,1
98800176,0.004503114,0
98800177,0.004598401,0
98800178,0.032199726,0
98800179,0.99871325,1
98800180,0.98638594,1
98800181,0.99410206,1
98800182,0.028344564,0
98800183,0.00047568584,0
98800184,0.12129813,0
98800185,0.9986694,1
98800186,0.99467367,1
98800187,0.26452705,0
98800188,0.34391788,0
98800189,0.03401871,0
98800190,0.033453446,0
98800191,0.9964868,1
98800192,0.9625291,1
98800193,0.98068076,1
98800194,0.9990927,1
98800195,0.011587658,0
98800196,0.9991998,1
98800197,0.0020705923,0
98800198,0.9651773,1
98800199,0.9822441,1
98800200,0.0008464132,0
98800201,0.14734834,0
98800202,0.85145736,1
98800203,0.99914885,1
98800204,0.9535555,1
98800205,0.99906904,1
98800206,0.9994518,1
98800207,0.9366881,1
98800208,0.015748044,0
98800209,0.5501255,0
98800210,0.9958281,1
98800211,0.9998795,1
98800212,0.70741147,0
98800213,0.99749243,1
98800214,0.050242994,0
98800215,0.99928766,1
98800216,0.99218035,1
98800217,0.048141196,0
98800218,0.0041953833,0
98800219,0.0039822436,0
98800220,0.99725586,1
98800221,0.5101079,0
98800222,0.99947757,1
98800223,0.842497,1
98800224,0.0067517683,0
98800225,0.9940001,1
98800226,0.99944395,1
98800227,0.0077286637,0
98800228,0.9657976,1
98800229,0.9973117,1
98800230,0.00059362303,0
98800231,0.99183464,1
98800232,0.9986129,1
98800233,0.29360485,0
98800234,0.96166426,1
98800235,0.99961156,1
98800236,0.9683871,1
98800237,0.99642724,1
98800238,0.99334717,1
98800239,0.9988513,1
98800240,0.014735127,0
98800241,0.9988223,1
98800242,0.9208052,1
98800243,0.0051043327,0
98800244,0.124407284,0
98800245,0.44764483,1
98800246,0.001173389,0
98800247,0.7481455,1
98800248,0.22309805,0
98800249,0.0005926207,0
98800250,0.059701424,0
98800251,0.0021155947,0
98800252,0.8990088,1
98800253,0.96851426,1
98800254,0.99558485,1
98800255,0.048940375,0
98800256,0.0021745265,0
98800257,0.055626407,0
98800258,0.99839103,1
98800259,0.99803954,1
98800260,0.99866533,1
98800261,0.97786385,1
98800262,0.9997398,1
98800263,0.9974732,1
98800264,0.99942774,1
98800265,0.00012913303,0
98800266,0.4960474,0
98800267,0.99915934,1
98800268,0.04058119,0
98800269,0.0743802,0
98800270,0.0011676346,0
98800271,0.7370223,0
98800272,0.61633015,1
98800273,0.9965373,1
98800274,0.99973255,1
98800275,0.99340445,1
98800276,0.977424,1
98800277,0.9990196,1
98800278,0.98382807,1
98800279,0.0021914209,0
98800280,0.9757993,1
98800281,0.99977535,1
98800282,0.013060196,0
98800283,0.9959282,1
98800284,0.005253324,0
98800285,0.02863568,0
98800286,0.087703094,0
98800287,0.99908125,1
98800288,0.32001725,0
98800289,0.9957443,1
98800290,0.99838257,1
98800291,0.0125142895,0
98800292,0.0019961342,0
98800293,0.9996803,1
98800294,0.005632177,0
98800295,0.9639275,1
98800296,0.9990914,1
98800297,0.0012884014,0
98800298,0.97758,1
98800299,0.0004963431,0
98800300,0.018391509,0
98800301,0.9992387,1
98800302,0.39564618,0
98800303,0.05874143,0
98800304,0.000536028,0
98800305,0.003645561,0
98800306,0.00034124168,0
98800307,0.031473905,0
98800308,0.00812316,0
98800309,0.99665403,1
98800310,0.9995192,1
98800311,0.009441698,0
98800312,0.99923503,1
98800313,0.8907329,1
98800314,0.7322595,1
98800315,0.9974692,1
98800316,0.99782085,1
98800317,0.4906491,1
98800318,0.99903524,1
98800319,0.98939604,1
98800320,0.9996681,1
98800321,0.0052555795,0
98800322,0.05034409,0
98800323,0.9987017,1
98800324,0.9987795,1
98800325,0.9997768,1
98800326,0.005277172,0
98800327,0.0018524262,0
98800328,0.00044376656,0
98800329,0.99961394,1
98800330,0.013596851,0
98800331,0.10878069,0
98800332,0.99857044,1
98800333,0.0018202048,0
98800334,0.99759406,1
98800335,0.0032474312,0
98800336,0.02301096,0
98800337,0.9993229,1
98800338,0.99877816,1
98800339,0.00031956565,0
98800340,0.9957872,1
98800341,0.00076856394,0
98800342,0.9992392,1
98800343,0.9923132,1
98800344,0.4603563,1
98800345,0.99517184,1
98800346,0.004609557,0
98800347,0.030504903,0
98800348,0.9960444,1
98800349,0.50821763,1
98800350,0.9959061,1
98800351,0.0043458757,0
98800352,0.0036810946,0
98800353,0.9992681,1
98800354,0.004710974,0
98800355,0.00518132,0
98800356,0.8739253,1
98800357,0.9982064,1
98800358,0.015024844,0
98800359,0.9998287,1
98800360,0.7893363,1
98800361,0.005799389,0
98800362,0.00487037,0
98800363,0.99949527,1
98800364,0.995388,1
98800365,0.99721813,1
98800366,0.00064248923,0
98800367,0.016522735,0
98800368,0.9201432,1
98800369,0.5695535,1
98800370,0.67073345,0
98800371,0.0013822365,0
98800372,0.99692625,1
98800373,0.00467949,0
98800374,0.52472395,1
98800375,0.9989825,1
98800376,0.99911183,1
98800377,0.07317918,0
98800378,0.52815604,0
98800379,0.82773423,1
98800380,0.03583905,1
98800381,0.06914388,0
98800382,0.17418924,0
98800383,0.64947,1
98800384,0.999516,1
98800385,0.052444942,0
98800386,0.003558525,0
98800387,0.0208937,0
98800388,0.9480742,1
98800389,0.012767389,0
98800390,0.99970144,1
98800391,0.027638586,0
98800392,0.9991302,1
98800393,0.0034029132,0
98800394,0.99733657,1
98800395,0.9492192,1
98800396,0.0017362953,0
98800397,0.00083337165,0
98800398,0.99880147,1
98800399,0.9989561,1
98800400,0.8541043,1
98800401,0.9992834,1
98800402,0.0006105036,0
98800403,0.9132,1
98800404,0.0073968954,0
98800405,0.9968624,1
98800406,0.9950418,1
98800407,0.0042016134,0
98800408,0.99619424,1
98800409,0.9994648,1
98800410,0.033390902,0
98800411,0.002497494,0
98800412,0.99932003,1
98800413,0.44659346,0
98800414,0.3157146,0
98800415,0.9997167,1
98800416,0.79743344,1
98800417,0.9988921,1
98800418,0.99785006,1
98800419,0.9504248,1
98800420,0.1343208,0
98800421,0.999653,1
98800422,0.99982685,1
98800423,0.99402595,1
98800424,0.010632824,0
98800425,0.0015727625,0
98800426,0.9958544,1
98800427,0.9210102,1
98800428,0.9986928,1
98800429,0.99505687,1
98800430,0.0035919487,0
98800431,0.0025197386,0
98800432,0.014310115,0
98800433,0.8570911,1
98800434,0.99471056,1
98800435,0.0079148365,0
98800436,0.0019493762,0
98800437,0.5079908,1
98800438,0.022878436,0
98800439,0.99949837,1
98800440,0.99938405,1
98800441,0.7507259,1
98800442,0.99902785,1
98800443,0.00096446264,0
98800444,0.044937577,0
98800445,0.006961306,0
98800446,0.023128662,0
98800447,0.99762625,1
98800448,0.43400264,1
98800449,0.4340553,0
98800450,0.006751062,0
98800451,0.0020021668,0
98800452,0.999073,1
98800453,0.0016793237,0
98800454,0.041446555,0
98800455,0.99915266,1
98800456,0.9996804,1
98800457,0.38943025,0
98800458,0.0018496519,0
98800459,0.998743,1
98800460,0.9616827,1
98800461,0.33433077,0
98800462,0.9925156,1
98800463,0.9973603,1
98800464,0.99608254,1
98800465,0.9995383,1
98800466,0.0017503651,0
98800467,0.004659111,0
98800468,0.014161931,0
98800469,0.03087492,0
98800470,0.0013837906,0
98800471,0.014492263,0
98800472,0.9737567,1
98800473,0.9992397,1
98800474,0.93172747,1
98800475,0.0076562716,0
98800476,0.9998111,1
98800477,0.9981647,1
98800478,0.06141858,0
98800479,0.9988821,1
98800480,0.53597456,1
98800481,0.030991377,0
98800482,0.86458486,1
98800483,0.9978259,1
98800484,0.00095890736,0
98800485,0.00638006,0
98800486,0.001369313,0
98800487,0.58787405,0
98800488,0.9974923,1
98800489,0.9961119,1
98800490,0.0010411885,0
98800491,0.99847454,1
98800492,0.5321163,0
98800493,0.9991301,1
98800494,0.9969182,1
98800495,0.00047896546,0
98800496,0.028390223,0
98800497,0.99952626,1
98800498,0.0005040166,0
98800499,0.017832872,0
98800500,0.001689462,0
98800501,0.9968659,1
98800502,0.99594563,1
98800503,0.007492465,0
98800504,0.47111744,1
98800505,0.032320246,0
98800506,0.99268746,1
98800507,0.033645492,0
98800508,0.2526979,0
98800509,0.050542206,0
98800510,0.0014265344,0
98800511,0.00940173,0
98800512,0.9963192,0
98800513,0.0014660828,0
98800514,0.99892515,1
98800515,0.9991472,1
98800516,0.9996524,1
98800517,0.9663526,1
98800518,0.9664478,1
98800519,0.9985285,1
98800520,0.99897575,1
98800521,0.0006070692,0
98800522,0.010300689,0
98800523,0.9953825,1
98800524,0.8266954,1
98800525,0.99809855,1
98800526,0.0012078045,0
98800527,0.999273,1
98800528,0.04769789,0
98800529,0.0057750368,0
98800530,0.003756654,0
98800531,0.99651575,1
98800532,0.9987625,1
98800533,0.967865,1
98800534,0.9699813,1
98800535,0.23988023,0
98800536,0.9945022,1
98800537,0.99872905,1
98800538,0.99801445,1
98800539,0.99875295,1
98800540,0.011621787,0
98800541,0.95209044,1
98800542,0.99437284,1
98800543,0.9981725,1
98800544,0.020410972,0
98800545,0.9972542,1
98800546,0.033230323,0
98800547,0.9147889,1
98800548,0.0032472287,0
98800549,0.9289309,1
98800550,0.08245025,0
98800551,0.07891372,0
98800552,0.999613,1
98800553,0.0021432657,0
98800554,0.9977683,1
98800555,0.9996381,1
98800556,0.15207672,0
98800557,0.008526536,0
98800558,0.003745052,0
98800559,0.9978446,1
98800560,0.00684078,0
98800561,0.02883178,0
98800562,0.47448036,1
98800563,0.9998116,1
98800564,0.999089,1
98800565,0.019964486,0
98800566,0.008667804,0
98800567,0.9992119,1
98800568,0.99894685,1
98800569,0.10525288,0
98800570,0.47330758,0
98800571,0.8146541,1
98800572,0.99971586,1
98800573,0.99953794,1
98800574,0.017347055,0
98800575,0.9287775,1
98800576,0.9997297,1
98800577,0.9894349,1
98800578,0.99951744,1
98800579,0.010394777,0
98800580,0.99966145,1
98800581,0.99945074,1
98800582,0.012676928,0
98800583,0.0015142551,0
98800584,0.0013912779,0
98800585,0.99956995,1
98800586,0.9988955,1
98800587,0.99860376,1
98800588,0.9923286,1
98800589,0.009379237,0
98800590,0.51889247,1
98800591,0.99913245,1
98800592,0.05146566,0
98800593,0.3587312,1
98800594,0.60911405,0
98800595,0.996949,1
98800596,0.99737537,1
